"date","yday","bikes","cars","trucks","others","tempmin","tempmax","temp","humidity","tempdew","cloudiness","rain","sunshine","wind","windmax"
2021-01-01,0,2,3135,25,1,0.2,2.6,1.32,85,-0.93,99,1.2,50,1.38,3.7
2021-01-02,1,7,6593,32,10,1.6,4,2.63,72,-1.99,100,0,13,1.35,2.4
2021-01-03,2,0,3367,30,2,-0.4,1.2,0.19,94,-0.65,98,13.5,0,1.74,2.8
2021-01-04,3,0,2186,75,0,-0.6,-0.1,-0.37,97,-0.78,99,3.8,0,1.39,2.1
2021-01-05,4,3,2071,68,0,-0.6,0.5,-0.21,98,-0.46,98,5.3,0,1.42,2.1
2021-01-06,5,1,2022,97,0,-0.2,0.5,0.17,93,-0.84,97,4.5,0,3.02,4.6
2021-01-07,6,1,1908,76,4,-1.7,1.2,0,82,-2.75,98,0,20,2.21,3.8
2021-01-08,7,0,2169,92,0,-1.9,0.6,-0.46,91,-1.81,98,0.3,0,1.86,4.1
2021-01-09,8,0,2115,30,1,-1.1,0.2,-0.46,89,-2,97,1.4,0,3.07,4.7
2021-01-10,9,0,2302,18,0,-8.2,1.2,-2.69,84,-5.06,44,0,271,1.62,2.9
2021-01-11,10,2,1295,80,1,-0.4,3.2,1.51,77,-2.17,98,0,32,2.44,5.5
2021-01-12,11,0,1139,96,1,0.9,5.3,2.88,78,-0.69,86,1.4,5,5.72,8.6
2021-01-13,12,1,1213,82,2,0,2.8,1.97,76,-1.77,79,3.6,47,7.23,9.9
2021-01-14,13,0,1422,85,0,-1.3,0.2,-0.39,86,-2.48,97,0.3,0,4.31,8.8
2021-01-15,14,0,1593,78,3,-3.5,-0.6,-1.43,90,-2.93,99,1.1,0,3.03,4.7
2021-01-16,15,1,2455,29,1,-4.3,-1.1,-3.06,76,-6.64,99,0,0,1.87,3.6
2021-01-17,16,0,2900,19,2,-6.1,-1.4,-2.93,77,-6.49,98,0,61,1.61,3.2
2021-01-18,17,0,1553,82,0,-1.9,4.3,2.62,79,-0.72,94,0.1,92,4.46,6.8
2021-01-19,18,0,1007,87,1,2.2,8.4,4.57,77,0.92,96,3.7,0,6.23,10.5
2021-01-20,19,0,1461,103,2,4.8,9.2,6.92,64,0.5,100,0,153,5.94,10.2
2021-01-21,20,0,1145,97,1,5,10.2,7.17,66,1.15,94,2.6,69,4.45,9
2021-01-22,21,2,1408,93,2,0.5,9.7,5.57,75,1.48,93,2.6,12,4.04,8.8
2021-01-23,22,1,2294,30,1,-0.2,6.4,2.28,80,-1.04,95,0,85,1.85,4.3
2021-01-24,23,0,2331,32,2,-0.7,1.4,0.02,91,-1.33,98,1.1,0,2.23,4.8
2021-01-25,24,0,1750,84,0,-2.6,2.2,-0.4,80,-3.47,84,0,114,1.55,3
2021-01-26,25,0,1372,101,1,-1.4,1.8,0.45,82,-2.26,96,1,31,3.24,4.9
2021-01-27,26,3,1650,93,2,-2,4,1.68,76,-2.15,99,0,53,2.45,5.1
2021-01-28,27,1,1415,84,2,-0.4,4.6,2.38,90,0.83,97,6.7,0,2.39,5.8
2021-01-29,28,0,1334,86,2,-0.8,5.1,-0.05,94,-0.99,96,7.5,0,2.75,4.5
2021-01-30,29,0,1886,31,1,-2.8,1.2,-1.74,89,-3.3,99,3.9,0,2.35,4.7
2021-01-31,30,1,3551,20,4,-8.8,-2.5,-4.43,80,-7.47,65,0,462,1.74,3.5
2021-02-01,31,1,1684,93,2,-5.3,1.7,-1.52,83,-4.02,99,0,1,2.12,4.1
2021-02-02,32,0,1526,94,1,0.3,4.6,2.16,90,0.71,96,0.6,1,1.58,3.7
2021-02-03,33,0,1042,83,0,4.7,10.4,7.57,86,5.25,85,3.4,4,2.78,7.7
